cik,user,fx_user,ir_user,cp_user,year,dm
3116,0,,,,1998,1998m12
3116,0,0,0,0,1999,1999m12
3116,0,0,0,0,2000,2000m12
3116,0,0,0,0,2001,2001m12
3116,0,0,0,0,2002,2002m12
3116,1,0,0,0,2003,2003m12
3116,0,0,0,0,2004,2004m12
3116,0,0,0,0,2005,2005m12
3116,0,0,0,0,2006,2006m12
3116,0,,,,2007,2007m12
3116,0,,,,2008,2008m12
3116,0,0,0,0,2009,2009m12
3116,0,0,0,0,2010,2010m12
3116,0,0,0,0,2011,2011m12
3116,0,0,0,0,2012,2012m12
3116,1,0,0,0,2013,2013m12
3116,1,0,0,0,2014,2014m12
3116,1,1,0,0,2015,2015m12
3116,0,0,0,0,2016,2016m12
3116,0,0,0,0,2017,2017m12
3116,0,0,0,0,2018,2018m12
3116,0,0,0,0,2019,2019m12
3133,0,0,0,0,1996,1996m12
3133,1,0,1,0,1997,1997m12
3133,1,0,1,0,1998,1998m12
3133,1,1,1,0,1999,1999m12
3133,1,0,1,0,2000,2000m12
3133,1,0,1,0,2001,2001m12
3133,1,1,1,0,2002,2002m12
3133,1,1,1,0,2003,2003m12
3133,1,1,1,0,2004,2004m12
3133,1,1,1,0,2005,2005m12
3146,0,0,0,0,1996,1996m9
3146,0,0,0,0,1997,1997m9
3146,1,0,0,0,1998,1998m9
3146,1,0,0,0,1999,1999m9
3146,1,0,0,0,2000,2000m9
3146,1,0,0,1,2001,2001m9
3146,1,0,0,1,2002,2002m12
3146,1,0,0,1,2003,2003m12
3146,1,0,0,1,2004,2004m12
3146,1,0,0,1,2005,2005m12
3146,1,0,0,1,2006,2006m12
3146,1,0,0,1,2007,2007m12
3146,1,0,0,1,2008,2008m12
3146,1,0,0,1,2009,2009m12
3146,1,0,0,1,2010,2010m12
3146,1,0,1,1,2011,2011m12
3146,1,0,1,1,2012,2012m12
3146,1,0,1,1,2013,2013m12
3146,0,0,0,0,2014,2014m9
3146,0,0,0,0,2014,2014m11
3146,1,0,1,1,2015,2015m9
3146,1,0,1,1,2016,2016m9
3146,1,0,1,1,2017,2017m9
3146,1,0,1,1,2018,2018m9
3146,1,0,1,1,2019,2019m9
3146,1,0,1,1,2020,2020m9
3146,1,0,1,1,2021,2021m9
3146,1,0,1,1,2022,2022m9
3146,1,0,1,1,2023,2023m9
3153,0,0,1,0,1996,1996m12
3153,1,1,1,0,1997,1997m12
3153,1,1,1,0,1998,1998m12
3153,1,1,1,0,1999,1999m12
3153,1,1,1,0,2000,2000m12
3153,1,0,1,0,2001,2001m12
3153,1,1,1,0,2002,2002m12
3153,1,0,1,0,2003,2003m12
3153,1,0,1,0,2004,2004m12
3153,1,0,1,1,2005,2005m12
3153,1,0,1,0,2006,2006m12
3153,1,0,1,0,2007,2007m12
3153,1,0,1,0,2008,2008m12
3153,1,0,1,0,2009,2009m12
3153,1,1,1,0,2010,2010m12
3153,1,1,1,0,2011,2011m12
3153,1,1,1,0,2012,2012m12
3153,1,1,1,0,2013,2013m12
3153,1,1,1,0,2014,2014m12
3153,1,1,1,0,2015,2015m12
3153,1,1,1,1,2016,2016m12
3153,1,1,1,1,2017,2017m12
3153,1,1,1,0,2018,2018m12
3153,1,1,1,1,2019,2019m12
3153,1,1,1,1,2020,2020m12
3153,1,1,1,0,2021,2021m12
3153,1,1,1,0,2022,2022m12
3153,1,1,1,0,2023,2023m12
3197,0,,,,1996,1996m12
3197,0,,,,1997,1997m12
3197,0,0,0,0,1998,1998m12
3197,1,0,1,0,1999,1999m12
3197,1,0,1,0,2000,2000m12
3197,1,0,1,0,2001,2001m12
3197,1,0,1,0,2002,2002m12
3197,1,0,1,0,2003,2003m12
3197,1,0,1,0,2004,2004m12
3197,0,0,1,0,2005,2005m12
3197,0,0,1,0,2006,2006m12
3197,0,0,1,0,2007,2007m12
3197,1,0,1,0,2008,2008m12
3197,0,0,0,0,2009,2009m12
3197,1,0,0,0,2010,2010m12
3197,0,,,,2011,2011m12
3197,0,,,,2012,2012m12
3197,0,,,,2013,2013m12
3197,0,0,0,0,2014,2014m12
3197,0,0,1,0,2015,2015m12
3197,1,0,1,0,2016,2016m12
3197,1,0,1,0,2017,2017m12
3197,1,0,1,0,2018,2018m12
3197,1,0,1,0,2019,2019m12
3197,0,0,1,0,2020,2020m12
3197,0,0,1,0,2021,2021m12
3197,0,0,0,0,2022,2022m12
3197,0,0,0,0,2023,2023m12
3202,0,0,0,0,1996,1996m12
3202,0,0,0,0,1997,1997m12
3202,0,0,0,0,1998,1998m12
3202,0,0,0,0,1999,1999m12
3202,1,0,0,0,2000,2000m12
3202,1,0,0,0,2001,2001m12
3202,1,0,0,0,2002,2002m12
3202,1,0,0,0,2003,2003m12
3202,1,0,0,0,2004,2004m12
3202,1,0,0,0,2005,2005m12
3202,1,0,0,0,2006,2006m12
3202,1,0,0,0,2007,2007m12
3202,1,0,0,0,2008,2008m12
3202,1,0,1,0,2010,2010m2
3292,0,0,1,0,1996,1996m12
3292,0,0,1,0,1997,1997m12
3292,0,0,0,0,1998,1998m12
3327,0,1,1,0,1997,1997m9
3327,0,0,0,0,1998,1998m9
3327,0,0,0,0,1999,1999m9
3327,0,0,0,0,2000,2000m9
3327,0,0,0,0,2001,2001m9
3327,1,1,0,1,2002,2002m9
3327,1,0,1,0,2003,2003m9
3327,0,0,1,0,2004,2004m9
3327,0,0,1,0,2005,2005m9
3333,0,,,,1996,1996m1
3333,0,,,,1997,1997m1
3333,0,0,0,0,1998,1998m1
3333,0,0,0,0,1999,1999m1
3333,1,1,0,0,2000,2000m1
3333,1,0,0,0,2001,2001m1
3333,1,0,1,0,2002,2002m1
3333,0,0,1,0,2003,2003m1
3333,1,0,1,0,2004,2004m1
3333,1,0,1,0,2005,2005m1
3333,1,0,1,0,2006,2006m1
3370,0,0,0,0,1996,1996m9
3370,0,0,1,0,1997,1997m9
3370,0,0,0,0,1998,1998m9
3370,0,0,0,0,1999,1999m9
3370,0,0,0,0,2000,2000m9
3370,0,0,0,0,2001,2001m9
3370,1,1,1,0,2002,2002m9
3370,1,1,1,0,2003,2003m9
3370,1,1,1,0,2004,2004m9
3370,1,1,1,0,2005,2005m9
3370,1,1,1,0,2006,2006m9
3370,1,1,1,0,2007,2007m9
3398,0,0,0,0,1996,1996m3
3453,0,0,0,0,1996,1996m12
3453,0,0,0,0,1997,1997m12
3453,0,0,0,0,1998,1998m12
3453,0,0,0,0,1999,1999m12
3453,0,0,0,0,2000,2000m12
3453,0,0,1,0,2001,2001m12
3453,1,0,1,0,2002,2002m12
3453,1,0,1,0,2003,2003m12
3453,1,0,1,0,2004,2004m12
3453,1,0,0,0,2005,2005m12
3453,1,0,0,0,2006,2006m12
3453,1,0,0,0,2007,2007m12
3453,0,0,0,0,2008,2008m12
3453,0,0,0,0,2009,2009m12
3453,0,0,0,0,2010,2010m12
3453,0,0,0,0,2011,2011m12
3453,0,,,,2012,2012m12
3453,0,0,0,0,2013,2013m12
3453,0,0,0,0,2014,2014m12
3453,0,0,0,0,2015,2015m12
3453,0,0,0,0,2016,2016m12
3453,0,0,0,0,2017,2017m12
3453,1,0,1,0,2018,2018m12
3453,1,0,1,0,2019,2019m12
3453,0,0,0,0,2020,2020m12
3453,0,,,,2021,2021m12
3453,0,1,1,1,2022,2022m12
3453,0,0,0,0,2023,2023m12
3499,0,,,,1996,1996m12
3499,0,,,,1997,1997m12
3499,0,0,0,0,1998,1998m12
3499,0,0,0,0,1999,1999m12
3499,0,0,0,0,2000,2000m12
3499,0,,,,2001,2001m12
3499,0,,,,2002,2002m12
3499,0,0,0,0,2003,2003m12
3499,0,,,,2004,2004m12
3499,0,,,,2005,2005m12
3499,0,0,0,0,2006,2006m12
3499,0,,,,2007,2007m12
3499,0,0,0,0,2008,2008m12
3499,0,,,,2009,2009m12
3499,0,,,,2010,2010m12
3499,0,0,0,0,2011,2011m12
3499,0,,,,2012,2012m12
3499,0,,,,2013,2013m12
3499,0,0,1,0,2014,2014m12
3499,0,0,1,0,2015,2015m12
3499,0,0,1,0,2016,2016m12
3499,1,0,1,0,2017,2017m12
3499,1,0,1,0,2018,2018m12
3499,0,0,1,0,2019,2019m12
3499,0,0,1,0,2020,2020m12
3499,1,0,1,0,2021,2021m12
3499,1,0,1,0,2022,2022m12
3499,1,0,1,0,2023,2023m12
3545,0,0,0,0,1996,1996m8
3545,0,0,0,0,1997,1997m8
3545,0,0,0,0,1998,1998m8
3545,0,0,0,0,1999,1999m8
3545,0,0,0,0,2000,2000m8
3545,0,0,0,0,2001,2001m8
3545,0,0,0,0,2002,2002m8
3545,0,0,0,0,2003,2003m8
3545,0,0,0,0,2004,2004m8
3545,0,0,0,0,2005,2005m8
3545,0,0,0,0,2005,2005m11
3545,0,0,0,0,2006,2006m11
3545,0,0,0,0,2007,2007m8
3545,0,0,0,0,2008,2008m9
3545,0,0,0,0,2009,2009m9
3545,0,0,0,0,2010,2010m9
3545,0,0,0,0,2011,2011m9
3545,0,0,0,0,2012,2012m9
3545,0,0,0,0,2013,2013m9
3545,0,0,0,0,2014,2014m9
3545,0,0,0,0,2015,2015m9
3545,0,0,0,0,2016,2016m9
3545,0,0,0,0,2017,2017m9
3545,0,0,0,0,2018,2018m9
3545,0,0,0,0,2019,2019m9
3545,0,0,0,0,2020,2020m9
3545,0,0,0,0,2021,2021m9
3545,0,0,0,0,2022,2022m9
3545,0,0,0,0,2023,2023m9
3570,0,,,,1996,1996m8
3570,0,,,,1997,1997m8
3570,0,,,,1997,1997m12
3570,0,,,,1998,1998m12
3570,0,0,0,0,1999,1999m12
3570,1,0,0,0,2000,2000m12
3570,0,0,0,0,2001,2001m12
3570,1,0,0,0,2002,2002m12
3570,1,0,0,0,2003,2003m12
3570,1,0,0,0,2004,2004m12
3570,1,0,1,0,2005,2005m12
3570,1,0,1,0,2006,2006m12
3570,1,0,1,0,2007,2007m12
3570,1,0,1,0,2008,2008m12
3570,1,1,1,0,2009,2009m12
3570,1,0,0,0,2010,2010m12
3570,1,0,0,0,2011,2011m12
3570,1,0,1,1,2012,2012m12
3570,1,0,1,1,2013,2013m12
3570,1,0,1,1,2014,2014m12
3570,1,0,1,1,2015,2015m12
3570,1,0,1,1,2016,2016m12
3570,1,0,1,1,2017,2017m12
3570,1,0,1,1,2018,2018m12
3570,1,0,1,1,2019,2019m12
3570,1,0,1,1,2020,2020m12
3570,1,0,1,1,2021,2021m12
3570,1,0,1,1,2022,2022m12
3570,1,0,0,1,2023,2023m12
3642,0,0,0,0,1996,1996m12
3642,0,0,0,0,1997,1997m12
3642,0,0,0,0,1998,1998m12
3642,0,0,0,0,1999,1999m12
3642,0,0,0,0,2000,2000m12
3642,0,0,0,0,2001,2001m12
3642,0,0,0,0,2002,2002m12
3650,0,,,,1996,1996m12
3662,1,1,1,0,1996,1996m12
3662,1,1,0,0,1997,1997m12
3662,1,1,1,0,1998,1998m12
3662,1,1,1,0,1999,1999m12
3673,0,0,0,0,1996,1996m12
3673,1,0,0,0,1997,1997m12
3673,0,0,1,0,1998,1998m12
3673,1,0,0,0,1999,1999m12
3673,1,0,0,1,2000,2000m12
3673,1,0,1,1,2001,2001m12
3673,1,0,1,1,2002,2002m12
3673,1,0,1,1,2003,2003m12
3673,1,0,1,1,2004,2004m12
3673,1,0,1,1,2005,2005m12
3673,1,0,1,1,2006,2006m12
3673,1,0,1,1,2007,2007m12
3673,1,0,1,1,2008,2008m12
3673,1,0,1,1,2009,2009m12
3673,1,0,1,1,2010,2010m12
3721,0,0,0,0,1996,1996m12
3721,0,0,0,0,1997,1997m12
3721,0,1,0,0,1998,1998m12
3721,0,1,0,0,1999,1999m12
3721,1,1,0,0,2000,2000m12
3721,0,1,0,0,2001,2001m12
3721,1,1,0,0,2002,2002m12
3753,0,,,,1996,1996m12
3753,0,,,,1997,1997m12
3753,0,,,,1998,1998m12
3753,0,,,,1999,1999m12
3753,0,,,,2000,2000m12
3753,0,0,0,0,2001,2001m12
3753,0,,,,2002,2002m12
3753,0,0,0,0,2003,2003m12
3753,0,0,0,0,2004,2004m12
3845,0,,,,1996,1996m12
3906,0,,,,1996,1996m12
3906,0,0,0,0,1997,1997m12
3906,0,0,0,0,1998,1998m12
3906,0,0,0,0,1999,1999m12
3906,0,0,0,0,2000,2000m12
3906,0,0,0,0,2001,2001m12
3906,0,0,0,0,2002,2002m12
3906,0,0,0,0,2003,2003m12
3906,0,0,0,0,2004,2004m12
3906,1,0,1,0,2005,2005m12
3906,1,0,1,0,2006,2006m12
3906,0,0,1,0,2007,2007m12
3906,0,0,0,0,2008,2008m12
3906,0,0,0,0,2009,2009m12
3941,0,0,0,0,1996,1996m12
3941,0,,,,1997,1997m12
3941,1,0,1,0,1998,1998m12
3941,0,0,1,0,1999,1999m12
3952,0,0,0,0,1996,1996m12
3952,0,1,0,0,1997,1997m12
3952,1,1,0,0,1998,1998m12
3952,1,1,0,0,1999,1999m12
3952,1,1,0,0,2000,2000m12
