code,population_pct,gdp_pct,labor_rate
TO,0.0012840000,0.0000000000,0.2208726875
TT,0.0168650000,0.0233600000,0.2003625000
TN,0.1513150000,0.0514740000,0.4546520000
TR,1.0540160000,1.3778320000,0.3397403654
TV,0.0001190000,0.0000000000,0.2208726875
TZ,0.8450030000,0.0779290000,0.2968333300
UG,0.6164350000,0.0516150000,0.1861650000
UA,0.4666260000,0.0821900000,0.4804927300
UY,0.0417400000,0.0671930000,0.6053296600
US,4.1918610000,23.6187450000,0.3397403654
UZ,0.4481590000,0.1480460000,0.4293687367
VC,0.0012400000,0.0009990000,0.0955000000
VE,0.3500980000,0.0446220000,0.0455000000
VG,0.0004860000,0.0000000000,0.2384506743
VI,0.0012860000,0.0000000000,0.2384506743
VN,1.2446710000,0.4246250000,0.2821850000
VU,0.0040400000,0.0009250000,0.2208726875
WS,0.0026870000,0.0011140000,0.1180033300
YE,0.5001870000,0.0000000000,0.2937739550
ZA,0.7888870000,0.3828560000,0.2983295000
ZM,0.2627060000,0.0299670000,0.2885633300
ZW,0.2050180000,0.0246800000,0.1330025000
TW,0.0029000000,0.0084000000,0.3078719167
XK,0.0002200000,0.0001000000,0.4138045000
GG,0.0000350000,0.0000080000,0.2602349500
JE,0.0000730000,0.0000130000,0.2602344900
